from,to,weight,Color1,Title1
57114,40608,1,#fa3927,cornell
57000,57198,1,#18453b,msu
52304,52923,1,#74b1de,columbia
48298,34975,1,#74b1de,columbia
51000,56732,1,#fdca21,bowiestate
57640,51374,1,#18453b,msu
58778,37276,1,#003091,ie
58875,58804,1,#003091,ie
57198,57284,1,#18453b,msu
57198,57088,1,#18453b,msu
52714,46019,1,#8b1f41,asu
52714,48082,1,#8b1f41,asu
52714,46940,1,#8b1f41,asu
52714,46584,1,#8b1f41,asu
52714,48875,1,#8b1f41,asu
36556,45178,1,#74b1de,columbia
52018,52055,1,#003091,ie
56269,13470,1,#0e529a,depaul
52798,50030,1,#e87500,utdallas
56253,15794,1,#cc0000,bu
52342,55231,1,#9e1b34,temple
28478,56283,1,#f2c413,ucf
17801,35769,1,#07294d,baiada
13470,14555,1,#0e529a,depaul
13470,13669,1,#0e529a,depaul
13470,24058,1,#0e529a,depaul
55812,56300,1,#f58220,utep
17378,49498,1,#8b1f41,asu
17378,17361,1,#8b1f41,asu
50229,20140,1,#8b1f41,asu
50229,17277,1,#8b1f41,asu
55913,52536,1,#e87500,utdallas
28478,56413,1,#f2c413,ucf
50109,40860,1,#74b1de,columbia
50109,52506,1,#74b1de,columbia
44242,56476,1,#8b1f41,asu
56355,55601,1,#00549f,erau
55261,55954,1,#f04f23,utrgv
55261,55861,1,#f04f23,utrgv
50561,6993,1,#fa3927,cornell
50561,2383,1,#fa3927,cornell
33211,28478,1,#f2c413,ucf
56297,51012,1,#1f395a,evanstonnu
56805,56218,1,#a50000,bradley
49478,58176,1,#ffffff,null
47223,58222,1,#18453b,msu
53389,50621,1,#e87500,utdallas
36556,51156,1,#74b1de,columbia
52714,46618,1,#8b1f41,asu
52018,52029,1,#003091,ie
52018,51989,1,#003091,ie
13470,13444,1,#0e529a,depaul
13470,13983,1,#0e529a,depaul
17378,36463,1,#8b1f41,asu
23973,52281,1,#4b2e83,washington
55261,56180,1,#f04f23,utrgv
44242,56477,1,#8b1f41,asu
23973,47116,1,#4b2e83,washington
55261,55135,1,#f04f23,utrgv
13470,13860,1,#0e529a,depaul
50561,2393,1,#fa3927,cornell
50561,2449,1,#fa3927,cornell
48560,14004,1,#fa3927,cornell
48560,12507,1,#fa3927,cornell
57455,48776,1,#00549f,erau
51000,56800,1,#fdca21,bowiestate
44592,55768,1,#fa3927,cornell
44565,41787,1,#9e1b34,temple
53196,57385,1,#990000,usc
57451,44680,1,#9e1b34,temple
57081,39623,1,#8b1f41,asu
13470,13467,1,#0e529a,depaul
55827,53525,1,#b01f24,unlv
44409,45165,1,#0e529a,depaul
52714,49138,1,#8b1f41,asu
52714,46922,1,#8b1f41,asu
52714,48632,1,#8b1f41,asu
52714,46423,1,#8b1f41,asu
52018,51992,1,#003091,ie
13470,13783,1,#0e529a,depaul
13470,13841,1,#0e529a,depaul
13470,14735,1,#0e529a,depaul
13470,33659,1,#0e529a,depaul
55261,56150,1,#f04f23,utrgv
44409,36620,1,#0e529a,depaul
56476,56477,1,#8b1f41,asu
50561,6668,1,#fa3927,cornell
45925,55149,1,#004f30,hawaii
57455,55601,1,#00549f,erau
23973,57813,1,#4b2e83,washington
34735,28287,1,#0e529a,depaul
58378,44636,1,#9e1b34,temple
56518,53113,1,#e87500,utdallas
56518,52548,1,#e87500,utdallas
58839,58865,1,#003091,ie
58778,37955,1,#003091,ie
52018,51994,1,#003091,ie
52714,46447,1,#8b1f41,asu
13470,14268,1,#0e529a,depaul
13470,13525,1,#0e529a,depaul
55261,56394,1,#f04f23,utrgv
16988,29222,1,#8b1f41,asu
50561,21677,1,#fa3927,cornell
57455,48777,1,#00549f,erau
47159,57472,1,#8b1f41,asu
8108,57215,1,#fa3927,cornell
40945,56089,1,#9e1b34,temple
57444,39239,1,#469ed9,umanitoba
57000,57251,1,#18453b,msu
57000,51374,1,#18453b,msu
48247,42247,1,#9e1b34,temple
16649,52845,1,#8b1f41,asu
37911,57368,1,#469ed9,umanitoba
57526,16620,1,#8b1f41,asu
57557,55836,1,#f04f23,utrgv
47223,55336,1,#18453b,msu
11986,57198,1,#18453b,msu
51000,56843,1,#fdca21,bowiestate
49071,47159,1,#8b1f41,asu
51376,50034,1,#18453b,msu
51150,36727,1,#4b2e83,washington
38231,28997,1,#ffffff,null
28478,32359,1,#f2c413,ucf
41787,57059,1,#9e1b34,temple
57447,16994,1,#430b00,rowan
47262,50869,1,#f2c413,ucf
57188,53305,1,#18453b,msu
57088,53305,1,#18453b,msu
57594,57284,1,#18453b,msu
51000,56730,1,#fdca21,bowiestate
57447,55135,1,#430b00,rowan
57447,15220,1,#430b00,rowan
57685,56657,1,#8b1f41,asu
57162,56879,1,#9e1b34,temple
57496,56657,1,#8b1f41,asu
45126,57712,1,#9e1b34,temple
45190,57712,1,#9e1b34,temple
55493,57533,1,#e87500,utdallas
57373,41787,1,#9e1b34,temple
49402,16649,1,#8b1f41,asu
56089,56275,1,#9e1b34,temple
16650,44900,1,#8b1f41,asu
17378,57496,1,#8b1f41,asu
50007,48776,1,#00549f,erau
50487,50730,1,#cc0000,bu
52018,52002,1,#003091,ie
52714,46834,1,#8b1f41,asu
13470,13997,1,#0e529a,depaul
55261,56258,1,#f04f23,utrgv
16988,21045,1,#8b1f41,asu
50561,2511,1,#fa3927,cornell
49717,49525,1,#01235d,ucsd
11986,55535,1,#18453b,msu
51000,56773,1,#fdca21,bowiestate
45198,50458,1,#9e1b34,temple
50487,42693,1,#cc0000,bu
57447,35005,1,#430b00,rowan
51856,57088,1,#18453b,msu
51856,53305,1,#18453b,msu
57685,57496,1,#8b1f41,asu
56990,56347,1,#9e1b34,temple
57500,40945,1,#9e1b34,temple
34300,32898,1,#f2c413,ucf
57712,50168,1,#9e1b34,temple
57000,55360,1,#18453b,msu
50007,48777,1,#00549f,erau
58157,57748,1,#a50000,bradley
16452,25899,1,#fa3927,cornell
51919,28379,1,#4b2e83,washington
58222,51374,1,#18453b,msu
52018,52060,1,#003091,ie
52714,46556,1,#8b1f41,asu
55261,55854,1,#f04f23,utrgv
16988,19700,1,#8b1f41,asu
13470,13278,1,#0e529a,depaul
16988,34016,1,#8b1f41,asu
50561,2433,1,#fa3927,cornell
51000,56817,1,#fdca21,bowiestate
51856,57100,1,#18453b,msu
57685,19429,1,#8b1f41,asu
57712,53109,1,#9e1b34,temple
51856,52698,1,#18453b,msu
57764,28972,1,#a61d31,harvard
52321,16649,1,#8b1f41,asu
57016,48053,1,#8b1f41,asu
50007,55601,1,#00549f,erau
31185,48078,1,#f1b82d,missouri
31185,35069,1,#f1b82d,missouri
16988,33884,1,#8b1f41,asu
50561,2476,1,#fa3927,cornell
52714,46825,1,#8b1f41,asu
13470,14542,1,#0e529a,depaul
55261,56141,1,#f04f23,utrgv
51856,57283,1,#18453b,msu
57712,53276,1,#9e1b34,temple
55915,56949,1,#8b1f41,asu
56522,57162,1,#9e1b34,temple
24383,31185,1,#f1b82d,missouri
31185,29347,1,#f1b82d,missouri
31185,28145,1,#f1b82d,missouri
51864,39625,1,#8b1f41,asu
58065,52558,1,#18453b,msu
50007,56613,1,#00549f,erau
55802,57573,1,#9e1b34,temple
53565,10745,1,#18453b,msu
57865,50034,1,#18453b,msu
45189,57573,1,#9e1b34,temple
56540,49684,1,#fa3927,cornell
56540,2396,1,#fa3927,cornell
57249,55660,1,#18453b,msu
58714,47223,1,#18453b,msu
52520,43780,1,#1f395a,evanstonnu
17378,48593,1,#8b1f41,asu
47062,52749,1,#8b1f41,asu
13470,13465,1,#0e529a,depaul
55261,55919,1,#f04f23,utrgv
16988,49608,1,#8b1f41,asu
52714,46956,1,#8b1f41,asu
50561,2485,1,#fa3927,cornell
51856,50034,1,#18453b,msu
57100,57088,1,#18453b,msu
57712,56874,1,#9e1b34,temple
17767,28733,1,#07294d,baiada
18695,17767,1,#07294d,baiada
17767,38033,1,#07294d,baiada
53363,56971,1,#e87500,utdallas
57077,16634,1,#8b1f41,asu
57612,55389,1,#a50000,bradley
57748,55389,1,#a50000,bradley
56805,57578,1,#a50000,bradley
17767,28693,1,#07294d,baiada
52714,46953,1,#8b1f41,asu
13470,36620,1,#0e529a,depaul
16988,35005,1,#8b1f41,asu
50561,2434,1,#fa3927,cornell
50487,57293,1,#cc0000,bu
56805,57612,1,#a50000,bradley
57472,16578,1,#8b1f41,asu
50007,50438,1,#00549f,erau
31185,32029,1,#f1b82d,missouri
50928,39625,1,#8b1f41,asu
58536,42943,1,#469ed9,umanitoba
16452,58501,1,#fa3927,cornell
52714,48320,1,#8b1f41,asu
16988,18997,1,#8b1f41,asu
13470,37807,1,#0e529a,depaul
50561,6325,1,#fa3927,cornell
57608,40608,1,#fa3927,cornell
26728,1561,1,#fa3927,cornell
31185,28403,1,#f1b82d,missouri
52728,39625,1,#8b1f41,asu
